Категория,Название,Полное название,Ссылка
Костно-мышечная система,Кетопрофен,"Кетопрофен гель для наружного применения 2,5% 30г",https://аптека-омск.рф/lek/ketoprofen-gel-dlya-naruzhnogo-primeneniya-25-30g
Дыхательная система,Эуфиллин,Эуфиллин таблетки 150мг №30,https://аптека-омск.рф/lek/eufillin-tabl-150-mg-kh30-0
Дыхательная система,Эуфиллин,Эуфиллин таблетки 150мг №30,https://аптека-омск.рф/lek/eufillin-tab-150-mg-no30
Дыхательная система,Эуфиллин,Эуфиллин раствор для внутривенного введения 24мг/мл ампулы 5мл №10,https://аптека-омск.рф/lek/eufillin-r-r-vv-vved-24mgml-5ml-amp-no10
Дыхательная система,Офлоксацин,Офлоксацин таблетки покрытые плёночной оболочкой 200мг №10,https://аптека-омск.рф/lek/ofloksacin-tabletki-ppo-200mg-no10-1
Дыхательная система,Офлоксацин,Офлоксацин таблетки покрытые плёночной оболочкой 200мг №10,https://аптека-омск.рф/lek/ofloksacin-tabletki-ppo-200mg-no10-0
Дыхательная система,Офлоксацин,Офлоксацин таблетки покрытые плёночной оболочкой 400мг №10,https://аптека-омск.рф/lek/ofloksacin-tabletki-ppo-400mg-no10
Дыхательная система,Амброксол,Амброксол таблетки 30мг №20,https://аптека-омск.рф/lek/ambroksol-tab-30mg-no20-0
Дыхательная система,Эуфиллин,Эуфиллин раствор для внутривенного введения 24мг/мл ампулы 5мл №10,https://аптека-омск.рф/lek/eufillin-r-r-vv-vved-24-mgml-amp-5-ml-kh10
Дыхательная система,Пектусин,Пектусин таблетки для рассасывания №20,https://аптека-омск.рф/lek/pektusin-tabl-drassas-kh20-0
Дыхательная система,Цефтриаксон,Цефтриаксон-АКОС порошок для приготовления раствора для внутривенного и внутримышечного введения 2г №1,https://аптека-омск.рф/lek/ceftriakson-akos-por-dprig-r-ra-dvv-i-vm-vved-2g-no1
Дыхательная система,Эуфиллин,Эуфиллин раствор для внутривенного введения 24мг/мл 10мл ампулы №10,https://аптека-омск.рф/lek/eufillin-r-r-vv-vved-24mgml-10ml-amp-no10
Дыхательная система,Алоэ,Алоэ экстракт жидкий раствор для подкожного введения 1мл №10,https://аптека-омск.рф/lek/aloe-ekstrakt-zhidkiy-r-r-dpodkozh-amp-1ml-no10-0
Дыхательная система,Ацетилцистеин,Ацетилцистеин Канон гранулы для приготовления раствора для приёма внутрь 200мг пакеты 3г №20,https://аптека-омск.рф/lek/acetilcistein-kanon-granuly-dlya-prigot-r-ra-dlya-priema-vnutr-200-mg-no-20
Дыхательная система,Халиксол,Халиксол таблетки 30мг №20,https://аптека-омск.рф/lek/khaliksol-tabl-30-mg-kh20
Дыхательная система,Нашатырно-анисовые капли,Нашатырно-анисовые капли раствор для приёма внутрь спиртовой 25мл Кировская фф,https://аптека-омск.рф/lek/nashatyrno-anisovye-kapli-25ml-r-r-dpriema-vnutr-spirt-kirovskaya-ff
Дыхательная система,Алоэ,Алоэ экстракт жидкий раствор для подкожного введения 1мл №10,https://аптека-омск.рф/lek/aloe-ekstrakt-zhidkiy-r-r-dpodkozh-amp-1ml-no10
Дыхательная система,Мукоцил,Мукоцил Солюшн Таблетс таблетки диспергируемые 200мг №20,https://аптека-омск.рф/lek/mukocil-solyushn-tablets-200mg-tab-disperg-kh20
Дыхательная система,Сальбутамол,Сальбутамол АВ аэрозоль для ингаляций дозированный 100 мкг/доза флакон 200доз,https://аптека-омск.рф/lek/salbutamol-av-aerozol-dlya-ingalyaciy-dozirovannyy-100-mkgdoza-200-doz-7g
Дыхательная система,Сальбутамол,Сальбутамол аэрозоль для ингаляций дозированный 100 мкг/доза флакон 200доз,https://аптека-омск.рф/lek/salbutamol-aerozol-dlya-ingalyaciy-dozirovannyy-100-mkgdoza-200-doz-12ml
Дыхательная система,Сальбутамол,Сальбутамол-Тева аэрозоль для ингаляций дозированный 100 мкг/доза флакон 200 доз,https://аптека-омск.рф/lek/salbutamol-teva-aerozol-dlya-ingalyaciy-dozirovannyy-100-mkgdoza-200-doz
Дыхательная система,Левофлоксацин,Левофлоксацин таблетки покрытые плёночной оболочкой 250мг №5,https://аптека-омск.рф/lek/levofloksacin-tabletki-ppo-250-mg-no5
Дыхательная система,Левофлоксацин вертекс,Левофлоксацин вертекс таблетки покрытые плёночной оболочкой 250мг №5,https://аптека-омск.рф/lek/levofloksacin-verteks-tabletki-ppo-250-mg-no5
Дыхательная система,Сальбутамол,Сальбутамол-Фармстандарт ВЧ аэрозоль для ингаляций дозированный 100мкг/доза флакон 200доз,https://аптека-омск.рф/lek/salbutamol-farmstandart-vch-100mkgdoza-200doz-aerozol-ding-doz
Дыхательная система,Ацетилцистеин,Ацетилцистеин Канон гранулы для приготовления раствора для приёма внутрь 600мг пакеты 3г №10,https://аптека-омск.рф/lek/acetilcistein-kanon-06-n10-pak-gran-dr-ra
Дыхательная система,Сальбутамол,Сальбутамол-Фармстандарт аэрозоль для ингаляций дозированный 100мкг/доза флакон 200доз,https://аптека-омск.рф/lek/salbutamol-farmstandart-aer-dingal-dozir-100mkgdoza-200-doz-bal-no1
Дыхательная система,Сальбутамол,Сальбутамол-МХФП аэрозоль для ингаляций дозированный 100 мкг/доза флакон 200доз,https://аптека-омск.рф/lek/salbutamol-mkhfp-100mkgdoza-200doz-aerozol-ding-doz
Дыхательная система,Мукоцил,Мукоцил Солюшн Таблетс таблетки диспергируемые 600мг №10,https://аптека-омск.рф/lek/mukocil-solyushn-tablets-tab-disperg-600mg-no10
Дыхательная система,Кордиамин,Кордиамин раствор для инъекций 250мг/мл ампулы 2мл №10,https://аптека-омск.рф/lek/kordiamin-r-r-dinek-250-mgml-amp-2-ml-kh10
Дыхательная система,Офлоксацин,Офлоксацин тева таблетки 200мг №10,https://аптека-омск.рф/lek/ofloksacin-teva-tabletki-200mg-no10
Дыхательная система,Флексид,Флексид таблетки покрытые пленочной оболочкой 500мг №5,https://аптека-омск.рф/lek/fleksid-tabletki-pokrytye-plenochnoy-obolochkoy-500mg-no5
Дыхательная система,Суприма,Суприма-Плюс мазь 20г,https://аптека-омск.рф/lek/suprima-plyus-200-maz
Дыхательная система,Бромгексин,Бромгексин 8 Берлин-Хеми таблетки покрытые оболочкой 8мг №25,https://аптека-омск.рф/lek/bromgeksin-8-berlin-khemi-tabl-po-8-mg-kh25
Дыхательная система,Бромгексин,Бромгексин 8 Берлин-Хеми таблетки покрытые оболочкой 8мг №25,https://аптека-омск.рф/lek/bromgeksin-8-berlin-khemi-8mg-tab-po-kh25
Дыхательная система,Атровент,"Атровент раствор для ингаляций 0,25мг/мл флакон 20мл",https://аптека-омск.рф/lek/atrovent-r-r-ding-025mgml-fl-20ml
Дыхательная система,Левофлоксацин,Левофлоксацин-крка таблетки покрытые пленочной оболочкой 500мг №5,https://аптека-омск.рф/lek/levofloksacin-krka-500mg-no5-tab-pplo
Дыхательная система,Драмина,Драмина таблетки 50мг №10,https://аптека-омск.рф/lek/dramina-tabletki-50-mg-no10
Дыхательная система,Астмасол,"Астмасол Бронхо раствор для ингаляций 0,25мг/мл+0,5мг/мл флакон 20мл",https://аптека-омск.рф/lek/astmasol-bronkho-r-r-ding-025-mgml05-mgml-20ml-fl-stek-iu
Дыхательная система,Фромилид таблетки пролонгированного действия,Фромилид уно таблетки пролонгированного действия.покрытые плёночной оболочкой 500мг №5,https://аптека-омск.рф/lek/fromilid-uno-tabletki-prolongppo-500-mg-no5
Дыхательная система,Беродуал,Беродуал раствор для ингаляций 20мл,https://аптека-омск.рф/lek/berodual-r-r-dingalyaciy-20ml
Дыхательная система,Атровент,Атровент Н аэрозоль для ингаляций дозированный 20мкг/доза флакон 200доз,https://аптека-омск.рф/lek/atrovent-n-aer-ding-dozir-20mkgdoza-fl-200doz
Пищеварительный тракт и обмен веществ,Уголь активированный,Уголь активированный таблетки 250мг №10,https://аптека-омск.рф/lek/ugol-aktivirovannyy-tab-250mg-no10
Пищеварительный тракт и обмен веществ,Уголь активированный,Уголь активированный таблетки 250мг №10,https://аптека-омск.рф/lek/ugol-aktivirovannyy-250mg-tab-yacheyk-kont-kh10
Пищеварительный тракт и обмен веществ,Лоперамид,Лоперамид капсулы 2мг №10,https://аптека-омск.рф/lek/loperamid-kaps-2mg-no10
Пищеварительный тракт и обмен веществ,Папазол,Папазол таблетки №10 (отпуск 10шт),https://аптека-омск.рф/lek/papazol-tabletki-no10-otpusk-10sht
Пищеварительный тракт и обмен веществ,Дротаверин,Дротаверин таблетки 40мг №20,https://аптека-омск.рф/lek/drotaverin-tab-40-mg-no20
Пищеварительный тракт и обмен веществ,Аллохол,Аллохол таблетки покрытые оболочкой №10,https://аптека-омск.рф/lek/allokhol-tabletki-pokrytye-obolochkoy-no10
Пищеварительный тракт и обмен веществ,Лоперамид,Лоперамид таблетки 2мг №10,https://аптека-омск.рф/lek/loperamid-tabletki-2mg-no10-0
Пищеварительный тракт и обмен веществ,Уголь активированный,Уголь активированный-УБФ таблетки 250мг №20,https://аптека-омск.рф/lek/ugol-aktivirovannyy-ubf-tabl-250-mg-kh20
Пищеварительный тракт и обмен веществ,Вазелиновое,Вазелиновое масло для приема внутрь 25мл (отпуск 10фл),https://аптека-омск.рф/lek/vazelinovoe-maslo-dpr-vnutr-25ml-fl-otpusk-10fl
Пищеварительный тракт и обмен веществ,Лоперамид,Лоперамид таблетки 2мг №20,https://аптека-омск.рф/lek/loperamid-tabletki-2mg-no20-0
Пищеварительный тракт и обмен веществ,Панкреатин,Панкреатин таблетки покрытые кишечнорастворимой  плёночной оболочкой 25ЕД №20 /блистеры/ (отпуск 10шт),https://аптека-омск.рф/lek/pankreatin-tab-kishechnorast-pplen-ob-25ed-no20-blistery-iu-otpusk-10sht
Пищеварительный тракт и обмен веществ,Дротаверин,Дротаверин таблетки 40мг №20 (отпуск 50шт),https://аптека-омск.рф/lek/drotaverin-tab-40mg-no20-otpusk-50sht
Пищеварительный тракт и обмен веществ,Уголь активированный,Уголь активированный таблетки 250мг №20,https://аптека-омск.рф/lek/ugol-aktivirovannyy-tab-250mg-no20
Пищеварительный тракт и обмен веществ,Дротаверин,Дротаверин таблетки 40мг №20,https://аптека-омск.рф/lek/drotaverin-tab-40mg-no20
Пищеварительный тракт и обмен веществ,Дротаверин,Дротаверин таблетки 40мг №20,https://аптека-омск.рф/lek/drotaverin-tab-40mg-no20-0
Пищеварительный тракт и обмен веществ,Лоперамид,Лоперамид таблетки 2мг №10,https://аптека-омск.рф/lek/loperamid-tab-2mg-no10
Пищеварительный тракт и обмен веществ,Лоперамид,Лоперамид-Акрихин капсулы 2мг №10,https://аптека-омск.рф/lek/loperamid-akrikhin-kapsuly-2-mg-no10
Пищеварительный тракт и обмен веществ,Омепразол,Омепразол капсулы 20мг №30 (отпуск 40шт),https://аптека-омск.рф/lek/omeprazol-kaps-20mg-no30-otpusk-40sht
Пищеварительный тракт и обмен веществ,Фамотидин,Фамотидин таблетки покрытые оболочкой 20мг №30,https://аптека-омск.рф/lek/famotidin-tabletki-pokrytye-obolochkoy-20-mg-no30
Пищеварительный тракт и обмен веществ,Касторовое масло,Касторовое масло для приёма внутрь 30мл,https://аптека-омск.рф/lek/kastorovoe-maslo-dvnut-pr-30-ml-kh1
Пищеварительный тракт и обмен веществ,Аллохол,Аллохол таблетки покрытые оболочкой №20,https://аптека-омск.рф/lek/allokhol-tabletki-po-no20
Пищеварительный тракт и обмен веществ,Дротаверин,Дротаверин МС таблетки 40мг №20,https://аптека-омск.рф/lek/drotaverin-ms-tab-40mg-no20
Пищеварительный тракт и обмен веществ,Фамотидин,Фамотидин таблетки покрытые пленочной оболочкой 20мг №20 (отпуск 12шт),https://аптека-омск.рф/lek/famotidin-tabletki-pokrytye-plenochnoy-obolochkoy-20-mg-no20-otpusk-12sht
Пищеварительный тракт и обмен веществ,Лоперамид,Лоперамид капсулы 2мг №10 (отпуск 5штук),https://аптека-омск.рф/lek/loperamid-kaps-2mg-no10otpusk-5sht
Пищеварительный тракт и обмен веществ,Фамотидин,Фамотидин таблетки покрытые оболочкой 40мг №20,https://аптека-омск.рф/lek/famotidin-tabletki-pokrytye-obolochkoy-40-mg-no20
Пищеварительный тракт и обмен веществ,Бисакодил,Бисакодил-Нижфарм суппозитории ректальные 10мг  №10,https://аптека-омск.рф/lek/bisakodil-nizhfarm-suppozitorii-rektalnye-10-mg-no10
Пищеварительный тракт и обмен веществ,Касторовое масло,Касторовое масло для приёма внутрь 30г,https://аптека-омск.рф/lek/kastorovoe-maslo-dpriema-vnutr-fl-30g-no1
Пищеварительный тракт и обмен веществ,Уголь активированный,Уголь активированный-УБФ таблетки 250мг №50,https://аптека-омск.рф/lek/ugol-aktivirovannyy-ubf-tabl-250-mg-kh50
Пищеварительный тракт и обмен веществ,Панкреатин-лект,Панкреатин-ЛекТ таблетки покрытые кишечнорастворимой оболочкой №60/блистеры/,https://аптека-омск.рф/lek/pankreatin-lekt-tab-pkish-rast-ob-no60-blistery-iu
Пищеварительный тракт и обмен веществ,Омепразол,Омепразол капсулы кишечнорастворимые 20мг №20,https://аптека-омск.рф/lek/omeprazol-002-n20-kaps
Пищеварительный тракт и обмен веществ,Панкреатин,Панкреатин форте таблетки покрытые кишечнорастворимой оболочкой №20,https://аптека-омск.рф/lek/pankreatin-forte-tab-po-kishechnorastv-no20
Пищеварительный тракт и обмен веществ,Дротаверин,Дротаверин таблетки 40мг №40,https://аптека-омск.рф/lek/drotaverin-tab-40-mg-no40
Пищеварительный тракт и обмен веществ,Таблетки мятные,Таблетки мятные для рассасывания №10,https://аптека-омск.рф/lek/tabletki-myatnye-drassas-kh10
Пищеварительный тракт и обмен веществ,Пензитал,Пензитал Гастро таблетки покрытые кишечнорастворимой оболочкой №20,https://аптека-омск.рф/lek/penzital-gastro-tab-no20
Пищеварительный тракт и обмен веществ,Омепразол,Омепразол-Тева капсулы кишечнорастворимые 20мг №14,https://аптека-омск.рф/lek/omeprazol-teva-kaps-kishechnorast-20mg-no14
Пищеварительный тракт и обмен веществ,Ротокан,Ротокан экстракт для приёма внутрь и местного применения жидкий 25мл,https://аптека-омск.рф/lek/rotokan-ekstrakt-25-ml
Пищеварительный тракт и обмен веществ,Мятные таблетки,Мятные таблетки для рассасывания №10,https://аптека-омск.рф/lek/myatnye-tabletki-n10-tabl-drass-mff
Пищеварительный тракт и обмен веществ,Уголь активированный,Уголь активированный таблетки 250мг №50 (отпуск 20шт),https://аптека-омск.рф/lek/ugol-aktiv-tab-250mg-no50-otpusk-20sht
Пищеварительный тракт и обмен веществ,Лоперамид,Лоперамид-Алиум капсулы 2мг №20,https://аптека-омск.рф/lek/loperamid-alium-kapsuly-2mg-no20
Пищеварительный тракт и обмен веществ,Уголь активированный,Уголь активированный Авексима таблетки 250мг №50,https://аптека-омск.рф/lek/ugol-aktivirovannyy-aveksima-025-n50-tabl
Противомикробные (системный приём),Левофлоксацин,Левофлоксацин раствор для инфузий 5мг/мл флакон 100мл,https://аптека-омск.рф/lek/levofloksacin-r-r-5-mgml-100-ml
Противомикробные (системный приём),Ципрофлоксацин,Ципрофлоксацин таблетки покрытые плёночной оболочкой 250мг №10,https://аптека-омск.рф/lek/ciprofloksacin-tabletki-ppo-250mg-no10
Противомикробные (системный приём),Флуконазол,Флуконазол капсулы 150мг №1,https://аптека-омск.рф/lek/flukonazol-kaps-150mg-no1-0
Противомикробные (системный приём),Метрогил,Метрогил раствор для внутривенного введения 5 мг/мл флакон 100мл,https://аптека-омск.рф/lek/metrogil-rastvor-dlya-vv-100ml
Противомикробные (системный приём),Цефтриаксон,Цефтриаксон порошок для приготовления раствора для внутривенного и внутримышечного введения 1г №1,https://аптека-омск.рф/lek/ceftriakson-1g-no1-fl-por-dprigot-r-ra-din-vv-i-vm-vved-biokhimik
Противомикробные (системный приём),Флуконазол,Флуконазол капсулы 150мг №1,https://аптека-омск.рф/lek/flukonazol-kaps-150mg-no1
Противомикробные (системный приём),Флуконазол,Флуконазол капсулы 50мг №7,https://аптека-омск.рф/lek/flukonazol-kaps-50-mg-kh7
Противомикробные (системный приём),Цефтриаксон,Цефтриаксон порошок для приготовления раствора для внутривенного и внутримышечного введения 1000мг №1/Рузфарма,https://аптека-омск.рф/lek/ceftriakson-10-n1-flak-por-dr-ra-vv-vm-indup-ruzfarma
Противомикробные (системный приём),Цефтриаксон,Цефтриаксон порошок для приготовления раствора для внутривенного и внутримышечного введения 1г №1,https://аптека-омск.рф/lek/ceftriakson-por-dprig-r-ra-dlya-vv-i-vm-vved-fl-1g-no1-indup
Противомикробные (системный приём),Цефтриаксон,Цефтриаксон порошок для приготовления раствора для внутривенного и внутримышечного введения 1г №1,https://аптека-омск.рф/lek/ceftriakson-por-dprigot-r-ra-vv-i-vm-vved-1g-fl-no1-0
Противомикробные (системный приём),Флуконазол,Флуконазол канон капс 150мг №1,https://аптека-омск.рф/lek/flukonazol-kanon-kaps-150-mg-kh1
Противомикробные (системный приём),Цефтриаксон,Цефтриаксон порошок для приготовления раствора для внутривенного и внутримышечного введения 1г №1,https://аптека-омск.рф/lek/ceftriakson-1g-por-dprig-r-ra-dvv-i-vm-vved-fl-kh1-indup-r
Противомикробные (системный приём),Фурадонин,Фурадонин Авексима таблетки 50мг №10,https://аптека-омск.рф/lek/furadonin-aveksima-tabletki-50-mg-no10
Противомикробные (системный приём),Флуконазол,Флуконазол-obl капсулы 150мг №1,https://аптека-омск.рф/lek/flukonazol-obl-kaps-150mg-no1
Противомикробные (системный приём),Глево,Глево таблетки покрытые пленочной оболочкой 500мг №5,https://аптека-омск.рф/lek/glevo-tabletki-pokrytye-plenochnoy-obolochkoy-500-mg-no5
Противомикробные (системный приём),Цефтриаксон,Цефтриаксон порошок для приготовления раствора для внутривенного и внутримышечного введения 1г №1,https://аптека-омск.рф/lek/ceftriakson-por-dprig-r-ra-vv-vm-vved-1-g-kh1
Противомикробные (системный приём),Цефтриаксон,Цефтриаксон-Акос порошок для приготовления раствора для внутривенного и внутримышечного введения 1г №1,https://аптека-омск.рф/lek/ceftriakson-akos-por-dprig-r-ra-dvv-i-vm-vved-1g-fl-no1-ind
Противомикробные (системный приём),Ципрофлоксацин,Ципрофлоксацин таблетки покрытые плёночной оболочкой 250мг №10,https://аптека-омск.рф/lek/ciprofloksacin-tabl-po-plen-250-mg-kh10
Противомикробные (системный приём),Цефтриаксон,Цефтриаксон порошок для приготовления раствора для внутривенного и внутримышечного введения 1г №1,https://аптека-омск.рф/lek/ceftriakson-por-dprigot-r-ra-vv-i-vm-vved-1g-fl-no1
Противомикробные (системный приём),Цифран,Цифран таблетки покрытые плёночной оболочкой 250мг №10,https://аптека-омск.рф/lek/cifran-tab-po-plyon-250mg-no10
Противомикробные (системный приём),Фурадонин,Фурадонин таблетки 50мг №10,https://аптека-омск.рф/lek/furadonin-tabletki-50mg-no10
Противомикробные (системный приём),Ципролет,Ципролет таблетки покрытые плёночной оболочкой 250мг №10,https://аптека-омск.рф/lek/ciprolet-tab-ppo-250mg-no10
Противомикробные (системный приём),Цефтриаксон порошок для приготовления раствора для внутривенного и внутримышечного введения 1г флакон №1 (отпуск 10шт),Цефтриаксон порошок для приготовления раствора для внутривенного и внутримышечного введения 1г флакон №1 (отпуск 10шт),https://аптека-омск.рф/lek/ceftriakson-por-dpr-r-ra-dlya-vv-i-vm-1g-fl-otpusk-10sht
Противомикробные (системный приём),Амоксициллин+клавулановая кислота,"Амоксициллин+Клавулановая кислота порошок для приготовления раствора для внутривенного введения 0,5+0,1 №1",https://аптека-омск.рф/lek/amoksicillinklavulanovaya-k-ta-0501-n1por-vv
Противомикробные (системный приём),Ципринол,Ципринол таблетки покрытые плёночной оболочкой 250мг №10,https://аптека-омск.рф/lek/ciprinol-tabletki-ppo-250mg-no10
Противомикробные (системный приём),Азитромицин,Азитромицин 500мг таблетки покрытые плёночной оболочкой №3,https://аптека-омск.рф/lek/azitromicin-500mg-tab-pplob-kh3-1
Противомикробные (системный приём),Ципрофлоксацин,Ципрофлоксацин таблетки покрытые плёночной оболочкой 500мг №10,https://аптека-омск.рф/lek/ciprofloksacin-tabletki-ppo-500mg-no10
Противомикробные (системный приём),Азитромицин,Азитромицин Авексима таблетки покрытые плёночной оболочкой 500мг №3,https://аптека-омск.рф/lek/azitromicin-aveksima-tab-po-plen-500mg-no3
Противомикробные (системный приём),Фурацилин,Фурацилин таблетки для приготовления раствора для местного и наружного применения 20мг №10,https://аптека-омск.рф/lek/furacilin-tab-dpr-r-ra-dmestn-i-nar-prim-20mg-no10-iu
Противомикробные (системный приём),Фурадонин,Фурадонин таблетки 50мг №20,https://аптека-омск.рф/lek/furadonin-tabletki-50mg-no20-0
Противомикробные (системный приём),Ципрофлоксацин,Ципрофлоксацин таблетки покрытые плёночной оболочкой 500мг №10,https://аптека-омск.рф/lek/ciprofloksacin-tabletki-ppo-500mg-no10-1
Противомикробные (системный приём),Азитромицин,Азитромицин капсулы 250мг №6,https://аптека-омск.рф/lek/azitromicin-kaps-250mg-no6-0
Противомикробные (системный приём),Цефурус порошок,"Цефурус порошок для приготовления раствора для внутривенного и внутримышечного введения 0,75 г №1 (отпуск 10шт)",https://аптека-омск.рф/lek/cefurus-por-dprig-r-ra-dlya-vv-i-vm-fl-075g-no1otpusk-10sht
Противомикробные (системный приём),Азитромицин,Азитромицин капсулы 500мг №3,https://аптека-омск.рф/lek/azitromicin-kaps-500mg-no3
Противомикробные (системный приём),Фурадонин,Фурадонин таблетки 50мг №20,https://аптека-омск.рф/lek/furadonin-tabletki-50mg-no20
Противомикробные (системный приём),Глево,Глево таблетки покрытые пленочной оболочкой 500мг №10,https://аптека-омск.рф/lek/glevo-tab-ppo-500mg-no10
Противомикробные (системный приём),Азитромицин,Азитромицин-Розлекс капсулы 500мг №3,https://аптека-омск.рф/lek/azitromicin-rozleks-kaps-500-mg-kh3
Противомикробные (системный приём),Азитромицин,Азитромицин капсулы 250мг №6,https://аптека-омск.рф/lek/azitromicin-kaps-250mg-no6
Противомикробные (системный приём),Трихопол,Трихопол таблетки 250мг №20,https://аптека-омск.рф/lek/trikhopol-tabletki-250mg-no20
Противомикробные (системный приём),Азитромицин,Азитромицин капсулы 500мг №3,https://аптека-омск.рф/lek/azitromicin-500mg-kaps-kh3
Противоопухолевые и иммуномодуляторы,Кларитромицин,Кларитромицин таблетки покрытые плёночной оболочкой 500мг №5,https://аптека-омск.рф/lek/klaritromicin-tabletki-ppo-500mg-no5
Противоопухолевые и иммуномодуляторы,Метотрексат,"Метотрексат-СЗ таблетки покрытые плёночной оболочкой 2,5мг №50",https://аптека-омск.рф/lek/metotreksat-sz-tab-po-plen-25mg-no50
Противоопухолевые и иммуномодуляторы,Реаферон,"Реаферон-ЕС лиофилизат для приготовления раствора для инъекций и местного применения 0,5млн МЕ флаконы №5",https://аптека-омск.рф/lek/reaferon-es-liof-prigot-r-ra-din-i-mest-prim-05-mln-me-fl-no5
Противоопухолевые и иммуномодуляторы,Гемцитабин,Гемцитабин-Эбеве концентрат для приготовления раствора для инфузий 10мг/мл флакон 20мл №1,https://аптека-омск.рф/lek/gemcitabin-ebeve-001ml-20ml-n1-flak-konc-dr-ra-dinf-0
Противоопухолевые и иммуномодуляторы,Реаферон,Реаферон-ЕС лиофилизат для приготовления раствора для инъекций и местного применения 1млн МЕ ампулы №5,https://аптека-омск.рф/lek/reaferon-es-liofil-dpr-r-ra-dinek-i-mestn-prim-amp-1mln-me-no5
Противоопухолевые и иммуномодуляторы,Сандостатин,"Сандостатин раствор для внутривенного и подкожного введения 0,1мг/мл ампулы №5",https://аптека-омск.рф/lek/sandostatin-00001ml-n5-amp-r-r-vv-podkozh
Противоопухолевые и иммуномодуляторы,Метотрексат,"Метотрексат-Эбеве раствор для инъекций 10мг/мл шприц 0,75мл №1 в комплекте с 1 иглой с автоматической системой защиты иглы",https://аптека-омск.рф/lek/metotreksat-ebeve-001ml-075ml-n1-shpric-r-r-dinigla-avtomat-zaschity-0
Противоопухолевые и иммуномодуляторы,Методжект,"Методжект раствор для подкожного введения 50мг/мл 1 шприц 7,5мг/0,15мл",https://аптека-омск.рф/lek/metodzhekt-50-mgml-75-mg-015ml-n1-shpric-r-r-pk
Противоопухолевые и иммуномодуляторы,Лайфферон,Лайфферон раствор для внутримышечного субконъюнктивального введения и закапывания в глаз 1млн МЕ флаконы 1мл №5,https://аптека-омск.рф/lek/layfferon-r-r-dlya-vm-subkonyunktiv-vved-i-zakapyvaniya-v-glaz-1-mln-me-fl-no-5
Противоопухолевые и иммуномодуляторы,Бикана,Бикана таблетки покрытые плёночной оболочкой 50мг №28,https://аптека-омск.рф/lek/bikana-005-n28-tabl-pplenoboloch
Противоопухолевые и иммуномодуляторы,Методжект,"Методжект раствор для подкожного введения 50мг/мл 1 шприц 10мг/0,2мл",https://аптека-омск.рф/lek/metodzhekt-50-mgml-10-mg-02-ml-n1-shpric-r-r-pk
Противоопухолевые и иммуномодуляторы,Лайфферон,Лайфферон лиофилизат для приготовления раствора для внутримышечного субконъюнктивального введения и закапывания в глаз 1млн МЕ флаконы №5,https://аптека-омск.рф/lek/layfferon-liof-dprig-r-ra-dlya-vm-subkonyunktiv-vved-i-zakapyvaniya-v-glaz-1mln-me-fl-no-5
Противоопухолевые и иммуномодуляторы,Метортрит,"Метортрит раствор для инъекций 10мг/мл шприц 0,75мл №1 + игла",https://аптека-омск.рф/lek/metortrit-001ml-075ml-n1-shpric-r-r-dinigla
Противоопухолевые и иммуномодуляторы,Селана,Селана таблетки покрытые плёночной оболочкой 1мг №30,https://аптека-омск.рф/lek/selana-0001-n30-tabl-pplenoboloch
Противоопухолевые и иммуномодуляторы,Элафра,Элафра таблетки покрытые плёночной оболочкой 10мг №30,https://аптека-омск.рф/lek/elafra-001-n30-tabl-pplenoboloch
Противоопухолевые и иммуномодуляторы,Метортрит,"Метортрит раствор для инъекций 10мг/мл шприц 1,25мл №1 + игла",https://аптека-омск.рф/lek/metortrit-001ml-125ml-n1-shpric-r-r-dinigla
Противоопухолевые и иммуномодуляторы,Глутоксим,Глутоксим раствор для инъекций 10мг/мл ампулы 1мл №5,https://аптека-омск.рф/lek/glutoksim-001ml-1ml-n5-amp-r-r-din
Противоопухолевые и иммуномодуляторы,Метортрит,Метортрит раствор для инъекций 10мг/мл шприц 1мл №1 + игла,https://аптека-омск.рф/lek/metortrit-001ml-1ml-n1-shpric-r-r-dinigla
Противоопухолевые и иммуномодуляторы,Метортрит,"Метортрит раствор для инъекций 10мг/мл шприц 1,75мл №1 + игла",https://аптека-омск.рф/lek/metortrit-001ml-175ml-n1-shpric-r-r-dinigla
Противоопухолевые и иммуномодуляторы,Методжект,"Методжект раствор для подкожного введения 50мг/мл 1 шприц 12,5мг/0,25мл",https://аптека-омск.рф/lek/metodzhekt-50-mgml-125-mg-025-ml-n1-shpric-r-r-pk
Противоопухолевые и иммуномодуляторы,Методжект,"Методжект раствор для подкожного введения 50мг/мл 1 шприц 15мг/0,3мл",https://аптека-омск.рф/lek/metodzhekt-50-mgml-15-mg-03-ml-n1-shpric-r-r-pk
Противоопухолевые и иммуномодуляторы,Экорал,Экорал капсулы 25мг №50,https://аптека-омск.рф/lek/ekoral-kapsuly-25mg-no50
Противоопухолевые и иммуномодуляторы,Аназалес,Аназалес таблетки покрытые плёночной оболочкой 1мг №28,https://аптека-омск.рф/lek/anazales-0001-n28-tabl-pplenoboloch
Противоопухолевые и иммуномодуляторы,Бикалутамид,Бикалутамид таблетки покрытые плёночной оболочкой 50мг №30,https://аптека-омск.рф/lek/bikalutamid-005-n30-tabl-pplenoboloch
Противоопухолевые и иммуномодуляторы,Методжект,"Методжект раствор для подкожного введения 50мг/мл 1 шприц 17,5мг/0,35мл",https://аптека-омск.рф/lek/metodzhekt-50-mgml-175-mg-035-ml-n1-shpric-r-r-pk
